latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
46.400489;6.594864;382.99;0;5;0;500;0;26.09;4;real;
46.400444;6.595117;383.29;-14.9;5;9;491;0.02;26.07;;;
46.400392;6.595364;384.21;-19.6;5;10;490;0.04;26.05;;;
46.400333;6.595611;385.3;-18.4;5;11;489;0.06;26.03;;;
46.400278;6.595858;386.7;-18.4;5;12;488;0.08;26.01;;;
46.400222;6.596106;387.79;-18.3;6;13;487;0.1;25.99;;;
46.400169;6.596353;388.96;-16.5;6;14;486;0.12;25.97;;;
46.400061;6.59685;391.33;-18;6;16;484;0.16;25.93;;;
46.400011;6.5971;392.49;-16.2;6;17;483;0.18;25.91;;;
46.399961;6.59735;393.68;-16.2;6;18;482;0.2;25.89;;;
46.399911;6.5976;394.8;-16.2;6;20;480;0.22;25.87;;;
46.399861;6.59785;395.99;-16.2;6;21;479;0.24;25.85;;;
46.399811;6.5981;397.05;-16.2;6;22;478;0.26;25.83;;;
46.399706;6.598597;399.38;-17.4;6;24;476;0.3;25.79;;;
46.399653;6.598844;400.51;-18.4;5;25;475;0.32;25.77;;;
46.399597;6.599092;401.62;-18.3;5;26;474;0.34;25.75;;;
46.399547;6.599342;402.77;-16.2;5;27;473;0.36;25.73;;;
46.399503;6.599594;403.8;-12.2;5;28;472;0.38;25.71;;;
46.399472;6.59985;404.57;-9;5;29;471;0.4;25.69;;;
46.39945;6.600108;405.55;-5.1;4;30;470;0.42;25.67;;;
46.399439;6.600367;406.36;-3.2;4;30;470;0.44;25.65;;;
46.399425;6.600628;407.55;-3.8;4;31;469;0.46;25.63;;;
46.399411;6.600886;408.15;-3.8;4;32;468;0.48;25.61;;;
46.399397;6.601144;408.88;-3.9;5;33;467;0.5;25.59;;;
46.399381;6.601406;409.84;-5.1;5;34;466;0.52;25.57;;;
46.399369;6.601664;410.61;-3.8;5;35;465;0.54;25.55;;;
46.399339;6.602444;413.46;-1.9;5;38;462;0.6;25.49;;;
46.399339;6.602703;414.58;0;5;39;461;0.62;25.47;;;
46.399358;6.602961;415.16;5.2;5;40;460;0.64;25.45;;;
46.399386;6.603219;416.11;11;5;41;459;0.66;25.43;;;
46.399419;6.603475;417.12;10.3;5;41;459;0.68;25.41;;;
46.399422;6.603733;418;-5.7;5;42;458;0.7;25.39;;;
46.399369;6.603981;418.29;-18;4;43;457;0.72;25.37;;;
46.399306;6.604222;418.57;-23.7;4;44;456;0.74;25.35;;;
46.399294;6.604478;419.79;3.2;4;45;455;0.76;25.33;;;
46.399328;6.604733;420.7;11;4;46;454;0.78;25.31;;;
46.399353;6.604992;421.69;6.9;5;47;453;0.8;25.29;;;
46.399369;6.60525;422.62;3.2;5;48;452;0.82;25.27;;;
46.399369;6.605508;423.56;0;5;48;452;0.84;25.25;;;
46.399369;6.605769;424.51;0;5;49;451;0.86;25.23;;;
46.399369;6.606031;425.54;0;5;50;450;0.88;25.21;;;
46.399378;6.606289;426.55;3.9;5;51;449;0.9;25.19;;;
46.399381;6.60655;427.54;0;5;52;448;0.92;25.17;;;
46.399381;6.606808;428.63;0;5;53;447;0.94;25.15;;;
46.399383;6.607069;429.42;0;5;54;446;0.96;25.13;;;
46.399389;6.607331;430.02;1.9;5;55;445;0.98;25.11;;;
46.399378;6.607589;431.07;-5.1;5;56;444;1;25.09;;;
46.399339;6.607839;432.29;-19.9;5;56;444;1.02;25.07;;;
46.399247;6.608061;433.32;-36.7;5;57;443;1.04;25.05;;;
46.399125;6.608253;434.1;-43;5;58;442;1.06;25.03;;;
46.399006;6.608444;434.62;-38.6;5;59;441;1.08;25.01;;;
46.398836;6.609697;439.19;-1.9;5;64;436;1.18;24.91;5;;
46.398825;6.609958;440.19;-3.8;5;65;435;1.2;24.89;;;
46.398817;6.610217;441;-3.2;4;65;435;1.22;24.87;;;
46.398728;6.610375;442.23;-76.9;4;66;434;1.24;24.85;;;
46.398664;6.610589;442.35;-30.8;4;67;433;1.26;24.83;;;
46.398506;6.610703;443.79;-71.4;4;68;432;1.28;24.81;;;
46.398328;6.610733;444.56;-85.1;4;69;431;1.3;24.79;;;
46.398147;6.610739;445.39;-90;4;70;430;1.32;24.77;;;
46.397969;6.610764;446.19;-79;4;70;430;1.34;24.75;;;
46.397833;6.610925;447.38;-43.3;4;71;429;1.36;24.73;;;
46.397781;6.611169;447.65;-8.4;4;72;428;1.38;24.71;;;
46.397825;6.611414;448.4;23.5;4;73;427;1.4;24.69;;;
46.397922;6.611633;449.29;32.3;4;74;426;1.42;24.67;;;
46.398008;6.611861;450.04;27.5;4;75;425;1.44;24.65;;;
46.398067;6.612108;450.97;18;4;75;425;1.46;24.63;;;
46.398089;6.612364;451.81;1.9;4;76;424;1.48;24.61;;;
46.398081;6.612625;452.72;-1.3;5;77;423;1.5;24.59;;;
46.398061;6.612883;453.64;-7;5;78;422;1.52;24.57;;;
46.398053;6.613142;454.64;0;5;79;421;1.54;24.55;;;
46.398069;6.6134;455.48;7.1;5;80;420;1.56;24.53;;;
46.398103;6.613656;456.46;10.9;5;80;420;1.58;24.51;;;
46.398125;6.613914;457.26;3.8;5;81;419;1.6;24.49;;;
46.398117;6.614172;457.92;-7;4;82;418;1.62;24.47;;;
46.39805;6.614411;458.52;-27.5;4;83;417;1.64;24.45;;;
46.397967;6.614642;459.1;-27.5;4;84;416;1.66;24.43;;;
46.397814;6.614775;459.69;-61.1;4;85;415;1.68;24.41;;;
46.397664;6.614919;460.86;-56.5;4;85;415;1.7;24.39;;;
46.397517;6.615064;461.78;-55.4;4;86;414;1.72;24.37;;;
46.397367;6.615211;462.61;-56.5;4;87;413;1.74;24.35;;;
46.397233;6.615383;463.7;-45.6;4;88;412;1.76;24.33;;;
46.397125;6.615589;464.43;-34.4;4;89;411;1.78;24.31;;;
46.397033;6.615814;465.2;-29.8;5;90;410;1.8;24.29;;;
46.396936;6.616033;466.07;-36.2;5;90;410;1.82;24.27;;;
46.396794;6.616186;467.07;-58.4;5;91;409;1.84;24.25;;;
46.396633;6.616156;468.17;-115.1;5;92;408;1.86;24.23;;;
46.396492;6.615997;469.07;-132.9;5;93;407;1.88;24.21;;;
46.396422;6.615769;469.84;-171;5;94;406;1.9;24.19;;;
46.396406;6.615511;470.72;-174.8;4;95;405;1.92;24.17;;;
46.396392;6.61525;471.6;-174.9;4;96;404;1.94;24.15;;;
46.396378;6.614992;472.39;-174.9;4;96;404;1.96;24.13;;;
46.396361;6.614733;473.27;-174.8;4;97;403;1.98;24.11;;;
46.396342;6.614475;473.99;-172.9;4;98;402;2;24.09;;;
46.396308;6.614219;474.79;-169.1;4;99;401;2.02;24.07;;;
46.396258;6.613969;475.56;-163.8;4;100;400;2.04;24.05;;;
46.396189;6.613731;476.27;-156.3;4;101;399;2.06;24.03;;;
46.396103;6.613503;477.16;-150.1;4;101;399;2.08;24.01;;;
46.396006;6.613283;477.87;-145.6;4;102;398;2.1;23.99;;;
46.395894;6.613081;478.7;-140.9;4;103;397;2.12;23.97;;;
46.395775;6.612883;479.43;-139.4;4;104;396;2.14;23.95;;;
46.395653;6.612692;480.11;-137.6;4;105;395;2.16;23.93;;;
46.394567;6.610958;487.28;-139.4;4;111;389;2.34;23.75;;;
46.394461;6.61075;487.97;-146.1;4;112;388;2.36;23.73;;;
46.394447;6.610492;488.8;176.8;4;113;387;2.38;23.71;;;
46.394514;6.610256;489.37;149.6;4;114;386;2.4;23.69;;;
46.394606;6.610033;490.39;151.9;4;115;385;2.42;23.67;;;
46.394689;6.609803;491.24;152.3;4;115;385;2.44;23.65;;;
46.394742;6.609556;492.04;167.1;4;116;384;2.46;23.63;;;
46.39475;6.609297;492.34;180;4;117;383;2.48;23.61;;;
46.39475;6.609036;492.92;180;4;118;382;2.5;23.59;;;
46.394739;6.608778;494.33;-174.9;4;119;381;2.52;23.57;;;
46.394719;6.608519;495;-172.3;4;119;381;2.54;23.55;;;
46.394675;6.608267;495.88;-163.8;4;120;380;2.56;23.53;;;
46.394614;6.608025;496.61;-158.1;4;121;379;2.58;23.51;;;
46.394544;6.607783;497.41;-157.7;4;122;378;2.6;23.49;;;
46.394475;6.607542;498.34;-156.8;4;123;377;2.62;23.47;;;
46.394408;6.607303;499.05;-157.5;4;123;377;2.64;23.45;;;
46.394342;6.607061;499.91;-158.3;4;124;376;2.66;23.43;;;
46.394275;6.606819;500.63;-158.3;4;125;375;2.68;23.41;;;
46.394211;6.606578;501.33;-159.3;4;126;374;2.7;23.39;;;
46.394144;6.606336;502.38;-161.6;4;127;373;2.72;23.37;;;
46.394075;6.606094;503.01;-156.5;4;128;372;2.74;23.35;;;
46.394008;6.605853;503.84;-158;4;129;371;2.76;23.33;;;
46.393939;6.605614;504.62;-156.3;4;129;371;2.78;23.31;;;
46.393872;6.605372;505.51;-157.7;4;130;370;2.8;23.29;;;
46.393806;6.605131;506.37;-158.1;4;131;369;2.82;23.27;;;
46.393733;6.604894;507.23;-153.6;4;132;368;2.84;23.25;;;
46.393653;6.604661;508.04;-154.2;4;133;367;2.86;23.23;;;
46.393575;6.604425;508.8;-154.2;4;134;366;2.88;23.21;;;
46.3935;6.604189;509.76;-154.2;5;135;365;2.9;23.19;;;
46.393431;6.60395;510.38;-158.1;5;136;364;2.92;23.17;;;
46.393364;6.603708;511.33;-158.3;5;137;363;2.94;23.15;;;
46.393292;6.603472;512.32;-158.3;5;138;362;2.96;23.13;;;
